Date,AAPL,SMA_AAPL,TSLA,SMA_TSLA
2019-01-02,38.382225036621094,,62.02399826049805,
2019-01-03,34.55907440185547,,60.071998596191406,
2019-01-04,36.03437805175781,,63.53799819946289,
2019-01-07,35.95417022705078,,66.99199676513672,
2019-01-08,36.63956832885742,,67.06999969482422,
2019-01-09,37.26177215576172,,67.70600128173828,
2019-01-10,37.380863189697266,,68.99400329589844,
2019-01-11,37.013858795166016,,69.4520034790039,
2019-01-14,36.4572868347168,,66.87999725341797,
2019-01-15,37.20343780517578,,68.88600158691406,
2019-01-16,37.657936096191406,,69.20999908447266,
2019-01-17,37.88154602050781,,69.46199798583984,
2019-01-18,38.11487579345703,,60.45199966430664,
2019-01-22,37.259342193603516,,59.784000396728516,
2019-01-23,37.410030364990234,,57.518001556396484,
2019-01-24,37.113521575927734,,58.301998138427734,
2019-01-25,38.34333801269531,,59.40800094604492,
2019-01-28,37.988487243652344,,59.2760009765625,
2019-01-29,37.59474182128906,,59.492000579833984,
2019-01-30,40.16377258300781,,61.75400161743164,
2019-01-31,40.453006744384766,,61.40399932861328,
2019-02-01,40.472450256347656,,62.44200134277344,
2019-02-04,41.622066497802734,,62.577999114990234,
2019-02-05,42.33420181274414,,64.2699966430664,
2019-02-06,42.34878158569336,,63.444000244140625,
2019-02-07,41.546722412109375,,61.50199890136719,
2019-02-08,41.59553909301758,,61.15999984741211,
2019-02-11,41.35633087158203,,62.56800079345703,
2019-02-12,41.71269989013672,38.606483713785806,62.36199951171875,63.48539975484212
2019-02-13,41.539398193359375,38.71318079630534,61.63399887084961,63.32119979858398
2019-02-14,41.69073486328125,38.823464457194014,60.75400161743164,63.278866577148435
2019-02-15,41.59797286987305,39.05809440612793,61.57600021362305,63.32899996439616
2019-02-19,41.72246551513672,39.247697321573895,61.12799835205078,63.24866663614909
2019-02-20,41.990962982177734,39.44892374674479,60.512001037597656,63.032666778564455
2019-02-21,41.75419616699219,39.619411341349284,58.24599838256836,62.738533401489256
2019-02-22,42.22041702270508,39.78469950358073,58.94200134277344,62.44640007019043
2019-02-25,42.5279655456543,39.95626958211263,59.75400161743164,62.13840001424153
2019-02-26,42.5523796081543,40.14088694254557,59.571998596191406,61.80906651814779
2019-02-27,42.684181213378906,40.348450088500975,62.948001861572266,61.67800000508626
2019-02-28,42.26434326171875,40.51714693705241,63.97600173950195,61.51433334350586
2019-03-01,42.70859146118164,40.68550211588542,58.95800018310547,61.17260004679362
2019-03-04,42.92338943481445,40.85356356302897,57.071998596191406,60.75960006713867
2019-03-05,42.84528350830078,41.01124382019043,55.30799865722656,60.58813336690267
2019-03-06,42.5987548828125,41.18922424316406,55.24800109863281,60.43693339029948
2019-03-07,42.105682373046875,41.34574597676595,55.31800079345703,60.36360003153483
2019-03-08,42.20576858520508,41.51548754374186,56.827999114990234,60.31446673075358
2019-03-11,43.667869567871094,41.69297192891439,58.183998107910156,60.27366663614909
2019-03-12,44.15848922729492,41.89863866170247,56.672000885009766,60.18686663309733
2019-03-13,44.3537712097168,42.12393964131673,57.79199981689453,60.13019994099935
2019-03-14,44.84682083129883,42.2800412495931,57.992000579833984,60.004799906412764
2019-03-15,45.43021011352539,42.44594802856445,55.08599853515625,59.79419987996419
2019-03-18,45.893985748291016,42.626665878295896,53.89799880981445,59.509399795532225
2019-03-19,45.53028869628906,42.75693995157878,53.49399948120117,59.20659980773926
2019-03-20,45.928157806396484,42.87673848470052,54.720001220703125,58.88826662699382
2019-03-21,47.61970520019531,43.052435938517256,54.80400085449219,58.60026664733887
2019-03-22,46.63357925415039,43.221997833251955,52.90599822998047,58.31373329162598
2019-03-25,46.06972885131836,43.37113749186198,52.08399963378906,58.011199951171875
2019-03-26,45.59375,43.51238479614258,53.55400085449219,57.710733286539714
2019-03-27,46.003822326660156,43.65542221069336,54.965999603271484,57.464199956258135
2019-03-28,46.06484603881836,43.80627047220866,55.7239990234375,57.2671999613444
2019-03-29,46.36507034301758,43.96208165486654,55.97200012207031,57.10779991149902
2019-04-01,46.67995071411133,44.13148091634115,57.83599853515625,56.983133188883464
2019-04-02,47.358524322509766,44.31934954325358,57.17599868774414,56.85139986673991
2019-04-03,47.68316650390625,44.509089660644534,58.36199951171875,56.779733149210614
2019-04-04,47.766151428222656,44.70948816935221,53.555999755859375,56.623399861653645
2019-04-05,48.085914611816406,44.90500475565592,54.992000579833984,56.491733169555665
2019-04-08,48.84260177612305,45.11549263000488,54.63999938964844,56.321266428629556
2019-04-09,48.69614028930664,45.32028465270996,54.46200180053711,56.150933202107744
2019-04-10,48.96952438354492,45.5297960917155,55.21200180053711,55.893066533406575
2019-04-11,48.5618896484375,45.73971430460612,53.683998107910156,55.54999974568685
2019-04-12,48.54236602783203,45.9341734568278,53.540000915527344,55.36939977010091
2019-04-15,48.6302375793457,46.12440172831217,53.2760009765625,55.24286651611328
2019-04-16,48.63512420654297,46.31739641825358,54.672000885009766,55.22166659037272
2019-04-17,49.582191467285156,46.550177637736006,54.24599838256836,55.18826649983724
2019-04-18,49.760379791259766,46.8053342183431,54.652000427246094,55.16606648763021
2019-04-22,49.92392349243164,47.06260604858399,52.54999923706055,55.02346649169922
2019-04-23,50.643985748291016,47.29514325459798,52.779998779296875,54.84333318074544
2019-04-24,50.56588363647461,47.5087230682373,51.731998443603516,54.67866643269857
2019-04-25,50.10698318481445,47.70049680074056,49.5260009765625,54.403133138020834
2019-04-26,49.86778259277344,47.867862192789715,47.02799987792969,54.037666447957356
2019-04-29,49.94345474243164,48.01830368041992,48.29399871826172,53.81126645406087
